,state,PK12ed_real,PK12ed_realperch,highered_real,highered_realperch,edsubs_real,edsubs_realperch,edservs_real,edservs_realperch,HeadStartPriv_real,HeadStartPriv_realperch,year
17,Kentucky,6359560.0,5.891110897064209,1723702.125,1.5967330932617188,765528.3125,0.7091389894485474,234340.5,0.2170788198709488,87066.859375,0.08065345883369446,2011
18,Louisiana,7886641.0,6.6911301612854,1699465.875,1.4418492317199707,321417.90625,0.2726951837539673,499992.625,0.4242003262042999,133486.484375,0.11325169354677199,2011
19,Maine,2392941.0,8.328052520751951,300608.21875,1.0461941957473757,96852.375,0.3370712697505951,119129.9921875,0.4146031439304352,32558.505859375,0.1133120059967041,2011
20,Maryland,11572135.0,8.061694145202638,2399635.75,1.671699285507202,442080.53125,0.3079741299152374,281711.875,0.19625376164913175,76964.140625,0.05361684411764145,2011
21,Massachusetts,13037529.0,8.626578330993652,1338905.0,0.8859170079231262,350715.875,0.23205915093421936,804015.5625,0.5319952368736267,118265.078125,0.07825278490781784,2011
22,Michigan,16898456.0,6.903254508972168,3394503.25,1.3867018222808838,900102.125,0.36770424246788025,132593.640625,0.05416634678840637,213825.203125,0.08735056966543198,2011
23,Minnesota,9151739.0,6.755856037139893,1917670.125,1.4156328439712524,520601.71875,0.3843105733394623,390495.25,0.2882653772830963,83599.5,0.06171353533864021,2011
24,Mississippi,4020795.0,5.0820488929748535,1316444.0,1.6639078855514526,192530.203125,0.2433468699455261,211840.703125,0.2677541971206665,180382.546875,0.2279929518699646,2011
25,Missouri,8845532.0,5.911871910095215,1130910.375,0.755838930606842,429635.0625,0.2871446907520294,317483.3125,0.21218855679035187,128838.578125,0.08610869199037552,2011
26,Montana,1572706.125,6.655689239501952,296793.34375,1.2560288906097412,84472.6796875,0.357488214969635,103118.796875,0.4363985657691956,24012.71484375,0.10162176191806792,2011
27,Nebraska,3328682.0,6.838376045227051,941890.875,1.9350012540817259,136096.796875,0.27959445118904114,145514.765625,0.2989425361156464,31181.267578125,0.06405815482139587,2011
28,Nevada,3929199.5,5.671125411987305,703177.9375,1.0149166584014893,224524.546875,0.32406267523765564,77673.453125,0.11210830509662628,28096.29296875,0.04055218026041985,2011
29,New Hampshire,2707275.0,9.009894371032717,142041.8125,0.4727195203304291,108665.8203125,0.3616431951522827,53103.89453125,0.1767313927412033,15920.3916015625,0.05298355221748352,2011
30,New Jersey,23326406.0,10.745856285095217,1839538.25,0.8474264740943909,779633.6875,0.3591565489768982,531148.9375,0.24468621611595154,153331.171875,0.0706356018781662,2011
31,New Mexico,3197774.25,5.854049205780028,1407859.375,2.577316999435425,176055.21875,0.3222978711128235,161599.296875,0.295833945274353,51384.59765625,0.09406791627407074,2011
32,New York,54272240.0,11.84374713897705,7178315.5,1.5665127038955688,1648404.75,0.3597288131713867,331127.09375,0.07226134836673738,503052.09375,0.10978027433156967,2011
33,North Carolina,12716393.0,5.258845329284668,5099658.5,2.1089560985565186,650972.4375,0.2692086696624756,749740.375,0.3100540041923523,148595.453125,0.061451427638530724,2011
34,North Dakota,1141102.75,7.030953884124756,425609.875,2.6224136352539062,51448.30859375,0.31700098514556885,66617.1484375,0.4104644358158112,8336.638671875,0.05136656016111374,2011
35,Ohio,20095594.0,7.037102699279785,2056848.375,0.7202699780464172,1455689.125,0.5097551941871643,332942.3125,0.1165901944041252,266040.4375,0.0931624099612236,2011
36,Oklahoma,4982271.5,5.048349380493164,1155275.0,1.1705969572067259,334521.3125,0.3389579355716705,224163.234375,0.2271362245082855,96575.65625,0.09785649925470352,2011
37,Oregon,5799555.5,6.3515706062316895,1658523.875,1.8163859844207764,184369.828125,0.2019185721874237,184905.875,0.20250563323497767,62395.15234375,0.06833406537771225,2011
38,Pennsylvania,23753066.0,8.055299758911133,3021878.5,1.0247998237609863,993205.4375,0.3368225395679474,561619.3125,0.19046013057231906,192537.609375,0.06529465317726135,2011
39,Rhode Island,2273779.75,9.560726165771484,118207.828125,0.497037023305893,107822.390625,0.453368604183197,110421.7109375,0.4642981588840485,25906.576171875,0.1089312583208084,2011
40,South Carolina,6847188.0,5.992800235748291,747311.4375,0.6540623903274536,870084.8125,0.7615162134170532,317839.25,0.2781794667243957,97875.78125,0.08566290885210037,2011
41,South Dakota,1140395.25,5.289083957672119,254632.5,1.1809700727462769,33578.75390625,0.15573622286319733,73723.7734375,0.3419263958930969,17285.45703125,0.08016890287399292,2011
42,Tennessee,8717334.0,5.530253887176514,1376549.875,0.8732796907424927,599372.0625,0.3802400827407837,262680.6875,0.16664394736289978,95208.6796875,0.06040013954043389,2011
43,Texas,42475480.0,5.815482139587402,14416946.0,1.9738798141479488,1375138.0,0.18827545642852786,961902.4375,0.13169778883457184,328951.96875,0.04503808543086052,2011
44,Utah,3674419.25,3.972933530807495,1589119.625,1.718221664428711,230592.515625,0.24932613968849185,176577.234375,0.1909225881099701,41622.98828125,0.04500449076294899,2011
45,Vermont,1490790.75,10.876206398010254,144353.15625,1.0531423091888428,110957.7578125,0.8095029592514038,74072.140625,0.5404003858566284,13578.966796875,0.09906665235757828,2011
