county_code,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,exp_current_supp_serve_total,exp_current_other,exp_current_food_serv,enrollment_fall_responsible,enrollment_fall_school,salaries_total,rev_fed_total,salaries_food_service,benefits_supp_sch_admin,exp_current_sch_admin,rev_fed_child_nutrition_act,salaries_supp_bco,rev_total,exp_current_elsec_total,salaries_teachers_regular_prog,rev_state_total,exp_total,salaries_supp_sch_admin,exp_current_bco,rev_state_gen_formula_assist,salaries_supp_operation_plant,exp_current_operation_plant,salaries_instruction,rev_fed_state_title_i,exp_current_instruction_total,rev_fed_state_idea,benefits_employee_total,benefits_supp_bco,debt_longterm_outstand_beg_fy,debt_longterm_outstand_end_fy,rev_local_total,benefits_supp_operation_plant,rev_fed_nonspec,payments_private_schools,salaries_teachers_vocational,payments_charter_schools,rev_state_bilingual_ed,rev_state_gifted_talented,exp_utilities_energy,rev_state_vocational_ed,rev_local_dist_activ_receipts,assets_sinking_fund,incar_rate
27055,368.0,128.0,72.0,0.0,0.0,0.0,0.0,0.0,24.0,10907000,1600000,1600000,4202,4175,24107000,1508000.0,437000,387000.0,1931000,495000,410000.0,50831000.0,45428000,11506000,39189000.0,53803000,1517000,1068000.0,30460000.0,807000,2375000,17413000,291000,32921000,24000,7619000,162000.0,22707000,26882000,10134000,262000,0,0.0,393000,0.0,0,0,0,51000,243000,1545000,0.006412932926502864
27057,512.0,542.0,252.0,0.0,12.0,0.0,0.0,0.0,204.0,7828000,1477000,1477000,2478,2464,16115000,2019000.0,444000,274000.0,1079000,816000,323000.0,34085000.0,26332000,7204000,22438000.0,31761000,763000,660000.0,16711000.0,752000,2597000,11348000,470000,17027000,418000,5709000,129000.0,39205000,36690000,9628000,269000,0,0.0,312000,0.0,0,0,0,0,84000,2186000,0.0185182852991039
27059,1864.0,684.0,408.0,0.0,0.0,0.0,0.0,0.0,264.0,19086000,2792000,2792000,6023,6215,38985000,5867000.0,922000,607000.0,3297000,1309000,512000.0,87393000.0,71778000,15875000,59617000.0,95059000,2393000,1612000.0,42116000.0,2036000,4550000,25754000,637000,49900000,2864000,13832000,203000.0,114464000,141611000,21909000,685000,0,0.0,691000,0.0,0,0,0,91000,729000,28839000,0.0053303550434987065
27061,1812.0,1302.0,840.0,0.0,0.0,0.0,0.0,0.0,208.0,28025000,3460000,3460000,6789,6810,50784000,7439000.0,934000,789000.0,3360000,1976000,789000.0,114836000.0,85568000,20927000,70389000.0,110928000,2485000,2488000.0,46137000.0,2531000,5983000,35776000,1555000,54083000,1571000,17293000,283000.0,97586000,100502000,37008000,1017000,0,0.0,649000,0.0,0,0,0,19000,362000,3388000,0.01239941671637834
27063,276.0,180.0,24.0,0.0,0.0,0.0,0.0,0.0,36.0,5401000,862000,862000,1471,1483,10917000,829000.0,323000,234000.0,955000,377000,228000.0,20429000.0,17565000,5098000,13611000.0,21810000,708000,480000.0,11007000.0,425000,1692000,7858000,167000,11302000,0,2926000,93000.0,13396000,12510000,5989000,115000,0,0.0,236000,0.0,0,0,0,0,121000,1185000,0.01916988608221892
27065,1130.0,324.0,144.0,0.0,0.0,0.0,0.0,0.0,60.0,6417000,1086000,1086000,2154,2137,14766000,1328000.0,369000,187000.0,1013000,534000,228000.0,24982000.0,22409000,6273000,19935000.0,27577000,809000,586000.0,15273000.0,708000,1761000,10386000,419000,14906000,0,4204000,90000.0,44555000,64277000,3719000,250000,0,0.0,208000,0.0,0,0,0,33000,91000,1094000,0.012608914631075297
27067,936.0,930.0,422.0,0.0,0.0,0.0,0.0,24.0,200.0,18830000,3691000,3691000,5715,5755,39975000,5454000.0,1076000,535000.0,2636000,2257000,623000.0,76837000.0,64913000,17025000,57500000.0,80687000,2040000,1624000.0,38519000.0,1737000,4726000,28428000,1022000,42392000,23000,13066000,289000.0,6590000,79611000,13883000,533000,0,0.0,667000,0.0,0,0,0,49000,229000,4165000,0.00841981685841747
27069,54.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2972000,425000,425000,619,615,5542000,440000.0,131000,100000.0,390000,154000,73000.0,11860000.0,9227000,2495000,7508000.0,10963000,274000,313000.0,6209000.0,326000,852000,3791000,95000,5830000,0,1648000,24000.0,8229000,11130000,3912000,102000,0,0.0,136000,0.0,0,0,0,3000,60000,4161000,0.0
27071,240.0,108.0,36.0,0.0,12.0,0.0,0.0,0.0,0.0,7442000,1007000,1007000,1726,1721,12686000,1259000.0,364000,161000.0,756000,467000,268000.0,25180000.0,22315000,5852000,18457000.0,25684000,567000,699000.0,13261000.0,886000,2239000,8167000,407000,13866000,0,4385000,91000.0,18456000,17867000,5464000,341000,0,0.0,106000,0.0,0,0,0,14000,70000,492000,0.014737458977965308
27073,272.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4648000,839000,839000,1313,1308,10687000,1054000.0,316000,152000.0,623000,459000,205000.0,18519000.0,15584000,4353000,13439000.0,18110000,448000,494000.0,10136000.0,469000,1265000,7472000,159000,10097000,0,2597000,39000.0,6124000,5809000,4026000,114000,0,0.0,290000,0.0,0,0,0,0,130000,1427000,0.01815337601862631
27075,222.0,90.0,36.0,0.0,12.0,0.0,0.0,0.0,0.0,4438000,561000,561000,1405,1400,10371000,707000.0,180000,140000.0,727000,218000,97000.0,22164000.0,15433000,4316000,12588000.0,18374000,545000,326000.0,10435000.0,406000,1171000,7304000,216000,10434000,182000,3185000,41000.0,54451000,70267000,8869000,191000,0,0.0,244000,0.0,0,0,0,0,51000,1951000,0.011956006447330993
27077,200.0,48.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2293000,328000,328000,464,464,3825000,302000.0,135000,32000.0,131000,160000,0.0,7727000.0,6204000,1615000,5030000.0,7556000,99000,61000.0,4000000.0,292000,826000,2497000,93000,3583000,0,1247000,0.0,28054000,28209000,2395000,113000,0,0.0,29000,0.0,0,0,0,0,5000,1666000,0.0
27079,1040.0,490.0,186.0,0.0,12.0,0.0,0.0,0.0,114.0,13824000,2319000,2319000,4296,4251,25954000,2501000.0,530000,428000.0,1871000,995000,423000.0,55460000.0,43187000,11880000,37989000.0,50453000,1426000,1335000.0,29198000.0,1215000,3800000,17965000,525000,27044000,503000,8710000,148000.0,75684000,64045000,14970000,444000,0,0.0,373000,0.0,0,0,0,7000,270000,7206000,0.0038956590712431495
27081,96.0,72.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,4318000,623000,623000,932,886,5970000,889000.0,220000,160000.0,676000,219000,152000.0,15043000.0,11667000,2610000,9683000.0,17169000,493000,447000.0,7981000.0,403000,1216000,3998000,140000,6726000,0,1504000,41000.0,15168000,25844000,4471000,115000,0,0.0,74000,0.0,0,0,0,0,45000,12147000,0.021717737699177026
27083,1202.0,554.0,162.0,0.0,12.0,0.0,0.0,0.0,162.0,26416000,2986000,2986000,4567,4748,43831000,12155000.0,493000,433000.0,3147000,1396000,647000.0,95782000.0,83889000,14731000,51194000.0,105229000,2665000,2127000.0,32263000.0,1496000,3971000,32923000,557000,54487000,8386000,12530000,245000.0,83970000,84290000,32433000,556000,0,0.0,607000,0.0,0,0,0,9000,294000,3656000,0.01073963695475481
27085,1052.0,768.0,662.0,0.0,0.0,0.0,0.0,12.0,438.0,17439000,2884000,2884000,5244,5244,33403000,3055000.0,655000,434000.0,2229000,1126000,692000.0,64470000.0,57055000,14542000,48775000.0,67411000,1732000,1530000.0,36457000.0,1149000,4327000,24749000,625000,36732000,542000,11011000,234000.0,10212000,78255000,12640000,472000,0,0.0,519000,0.0,0,0,0,44000,233000,2720000,0.005311802143814203
27087,1554.0,456.0,210.0,24.0,0.0,0.0,0.0,0.0,0.0,6783000,927000,927000,1322,1284,10290000,5205000.0,282000,122000.0,575000,665000,264000.0,23157000.0,19503000,4890000,15543000.0,23506000,435000,835000.0,10480000.0,346000,1506000,7377000,693000,11793000,34000,3241000,82000.0,20013000,19073000,2409000,111000,0,0.0,382000,0.0,0,0,0,28000,38000,765000,0.19893507448960823
27089,612.0,126.0,48.0,0.0,0.0,0.0,0.0,0.0,36.0,6205000,954000,954000,1325,1323,11420000,1391000.0,331000,220000.0,910000,381000,160000.0,22069000.0,18877000,4726000,14617000.0,21428000,654000,704000.0,12247000.0,689000,1867000,7677000,140000,11718000,429000,3419000,68000.0,6252000,5903000,6061000,202000,0,0.0,271000,0.0,0,0,0,2000,128000,215000,0.06126673751328374
27091,442.0,456.0,364.0,0.0,0.0,0.0,0.0,114.0,150.0,11200000,1751000,1751000,2970,3048,22089000,3043000.0,309000,270000.0,1749000,884000,389000.0,47169000.0,38542000,8535000,29093000.0,52189000,1188000,980000.0,21384000.0,1079000,3086000,16409000,549000,25591000,1259000,6405000,149000.0,66263000,83216000,15033000,350000,0,0.0,506000,0.0,0,0,0,0,634000,15565000,0.016992113407207746
27093,914.0,228.0,24.0,0.0,0.0,0.0,0.0,0.0,42.0,12186000,1898000,1898000,3408,3360,21886000,1939000.0,654000,388000.0,1823000,830000,592000.0,43236000.0,35697000,9284000,30151000.0,40882000,1387000,1172000.0,23633000.0,1143000,3091000,15087000,398000,21613000,0,5681000,187000.0,45698000,42771000,11146000,256000,0,0.0,410000,0.0,0,0,0,21000,168000,2611000,0.01077574231637437
27095,2044.0,746.0,472.0,36.0,0.0,0.0,0.0,0.0,276.0,21341000,3571000,3571000,6137,6134,41008000,5047000.0,1116000,544000.0,2797000,1682000,717000.0,82346000.0,68147000,17051000,59781000.0,104228000,2160000,2126000.0,43919000.0,1929000,5500000,28860000,890000,43235000,0,12549000,518000.0,89680000,85963000,17518000,656000,0,0.0,685000,0.0,0,0,0,110000,164000,10607000,0.02507691100298226
27097,1176.0,258.0,294.0,198.0,12.0,312.0,0.0,0.0,66.0,17617000,2960000,2960000,5339,5338,36805000,4377000.0,842000,502000.0,2233000,1472000,564000.0,67825000.0,58846000,15479000,49945000.0,81220000,1676000,1673000.0,37458000.0,1623000,4063000,26458000,792000,38269000,1255000,11118000,233000.0,70400000,67273000,13503000,499000,0,0.0,450000,0.0,0,0,0,56000,216000,2259000,0.007285047156853768
27099,4018.0,1008.0,720.0,0.0,24.0,0.0,0.0,0.0,752.0,22228000,3959000,3959000,6293,6365,46984000,6432000.0,1219000,880000.0,3404000,2327000,573000.0,93121000.0,76558000,19692000,64984000.0,99993000,2493000,1839000.0,44026000.0,2211000,5873000,33561000,1407000,50371000,1513000,16270000,263000.0,71616000,70285000,21705000,1055000,0,0.0,631000,0.0,0,0,0,47000,180000,3022000,0.008703703703703705
